Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,pipeline_flow_duration
149.154.167.151 10.0.2.16 443 37690,1134347136,1134352276,1134352346,1134352352,1134352370,1134352378,,,443,0x3f06,4,9,6,8,,5016,5025
10.0.2.16 149.154.167.151 37690 443,1134346768,1134352625,1134352666,1134352670,1134352688,1134352698,,,37690,0x3b16,4,22,4,10,,5822,5844
149.154.175.53 10.0.2.16 443 59630,1134502634,1134506921,1134506992,1134507000,1134507018,1134507026,,,443,0x5182,4,66,8,8,,4317,4383
10.0.2.16 149.154.175.53 59630 443,1134502172,1134514929,1134514960,1134514966,1134514984,1134514997,,,59630,0x2111,4,67,6,13,,12657,12724
10.0.2.16 149.154.167.151 48386 443,1134516768,1134524267,1134524337,1134524340,1134524358,1134524369,,,48386,0x4e80,4,68,3,11,,7350,7418
149.154.175.58 10.0.2.16 443 48126,1134562852,1134597307,1134597364,1134597373,1134597392,1134597401,,,443,0x72c5,4,9,9,9,,34005,34014
10.0.2.16 149.154.175.58 48126 443,1134562106,1134597688,1134597691,1134597696,1134597714,1134597721,,,48126,0x2cd2,4,17,5,7,,35065,35082
149.154.167.151 10.0.2.16 443 39744,1134605776,1134665385,1134665455,1134665462,1134665480,1134665489,,,443,0x4018,4,43,7,9,,58808,58851
149.154.175.58 10.0.2.16 443 35524,1134901736,1134909173,1134909182,1134909188,1134909206,1134909218,,,443,0x59a2,4,25,6,12,,7369,7394
149.154.167.151 10.0.2.16 443 46214,1134891582,1134927855,1134927925,1134927931,1134927950,1134927960,,,443,0x1f2d,4,19,6,10,,35754,35773
10.0.2.16 149.154.167.151 46214 443,1134892030,1134928205,1134928246,1134928251,1134928269,1134928279,,,46214,0x1af7,4,3,5,10,,35772,35775
149.154.167.151 10.0.2.16 443 48614,1134962370,1134966934,1134966997,1134967004,1134967022,1134967031,,,443,0x61e7,4,39,7,9,,4482,4521
149.154.175.53 10.0.2.16 443 46266,1135441609,1135445861,1135445936,1135445953,1135445971,1135445988,,,443,0x12d8,4,27,17,17,,4250,4277
149.154.175.58 10.0.2.16 443 60270,1135452939,1135461240,1135461312,1135461320,1135461339,1135461344,,,443,0x236e,4,69,8,5,,8187,8256
10.0.2.16 149.154.175.58 60270 443,1135452594,1135473714,1135473785,1135473789,1135473807,1135473817,,,60270,0x2983,4,27,4,10,,20983,21010
10.0.2.16 149.154.175.53 35454 443,1135466587,1135488794,1135488864,1135488868,1135488886,1135488895,,,35454,0x70d3,4,48,4,9,,21972,22020
149.154.175.53 10.0.2.16 443 35454,1135466902,1135489175,1135489180,1135489184,1135489202,1135489211,,,443,0x396f,4,31,4,9,,22006,22037
10.0.2.16 149.154.167.151 45356 443,1135463313,1135507192,1135507263,1135507269,1135507287,1135507292,,,45356,0x3140,4,47,6,5,,43266,43313
