Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,pipeline_flow_duration
10.0.2.16 31.13.80.48 48828 5222,2873443176,2873443200,2873443256,2873443259,2873443277,2873443280,,,48828,0x7bc7,2,69,3,3,,4585,4654
31.13.80.48 10.0.2.16 5222 48828,2873443350,2873443366,2873443428,2873443431,2873443449,2873443452,,,5222,0x1fe4,2,24,3,3,,4196,4220
31.13.80.48 10.0.2.16 5222 58596,2873447576,2873450444,2873450460,2873450464,2873450482,2873450487,,,5222,0x1932,2,30,4,5,,2330,2360
10.0.2.16 31.13.80.48 47590 443,2873557437,2873557536,2873557623,2873557629,2873557647,2873557655,,,47590,0x150f,2,93,6,8,,2692,2785
31.13.80.48 10.0.2.16 443 47590,2873558058,2873558098,2873558133,2873558137,2873558155,2873558161,,,443,0x2b7a,2,38,4,6,,2292,2330
10.0.2.16 31.13.80.48 57080 5222,2873559510,2873565138,2873565211,2873565216,2873565235,2873565242,,,57080,0x6e1e,2,69,5,7,,5095,5164
31.13.80.48 10.0.2.16 5222 57080,2873590574,2873590604,2873590652,2873590656,2873590675,2873590681,,,5222,0x2b5e,2,28,4,6,,4642,4670
10.0.2.16 31.13.80.48 54560 5222,2873590754,2873590780,2873590830,2873590833,2873590851,2873590854,,,54560,0x54ab,2,41,3,3,,3710,3751
10.0.2.16 31.13.80.48 48540 5222,2873594852,2873598289,2873598361,2873598364,2873598382,2873598389,,,48540,0x2f3f,2,29,3,7,,2911,2940
10.0.2.16 31.13.80.48 58182 5222,2873628957,2873628961,2873629037,2873629039,2873629057,2873629060,,,58182,0x7d3c,2,13,2,3,,2553,2566
31.13.80.48 10.0.2.16 5222 58182,2873629601,2873629604,2873629681,2873629684,2873629703,2873629706,,,5222,0x54cc,2,33,3,3,,2161,2194
10.0.2.16 31.13.80.48 42650 443,2873631024,2873636225,2873636237,2873636241,2873636259,2873636266,,,42650,0x1a6d,2,24,4,7,,4678,4702
10.0.2.16 31.13.80.48 38042 5222,2873720923,2873720952,2873720975,2873720980,2873720998,2873721003,,,38042,0x6ae2,2,79,5,5,,5823,5902
10.0.2.16 31.13.80.48 52512 5222,2873721455,2873721559,2873721639,2873721642,2873721661,2873721665,,,52512,0x17e4,2,54,3,4,,4653,4707
31.13.80.48 10.0.2.16 5222 52512,2873721756,2873721786,2873721814,2873721817,2873721835,2873721838,,,5222,0x1101,2,108,3,3,,4247,4355
10.0.2.16 31.13.80.48 36724 5222,2873723788,2873727129,2873727138,2873727142,2873727160,2873727164,,,36724,0x1a19,2,13,4,4,,2803,2816
10.0.2.16 31.13.80.48 53404 443,2873810188,2873810203,2873810270,2873810274,2873810293,2873810296,,,53404,0x784f,2,97,4,3,,6443,6540
31.13.80.48 10.0.2.16 5222 46386,2873811177,2873811182,2873811257,2873811260,2873811278,2873811282,,,5222,0x5cac,2,25,3,4,,4818,4843
10.0.2.16 31.13.80.48 38352 5222,2873844504,2873844509,2873844591,2873844602,2873844622,2873844630,,,38352,0x671c,2,26,11,8,,7336,7362
31.13.80.48 10.0.2.16 443 44990,2873844702,2873844708,2873844780,2873844787,2873844805,2873844814,,,443,0x7fc0,2,0,7,9,,6307,6307
10.0.2.16 31.13.80.48 44990 443,2873846004,2873846033,2873846064,2873846068,2873846087,2873846092,,,44990,0x13ae,2,27,4,5,,5914,5941
31.13.80.48 10.0.2.16 443 41336,2873847568,2873851476,2873851548,2873851553,2873851571,2873851578,,,443,0x2d28,2,59,5,7,,3377,3436
10.0.2.16 31.13.80.48 41336 443,2873878043,2873878048,2873878127,2873878135,2873878154,2873878161,,,41336,0x5fd6,2,28,8,7,,2928,2956
10.0.2.16 31.13.80.48 43568 5222,2873878542,2873878545,2873878623,2873878627,2873878645,2873878649,,,43568,0x397d,2,79,4,4,,2591,2670
31.13.80.48 10.0.2.16 5222 43568,2873881926,2873882024,2873882102,2873882108,2873882126,2873882131,,,5222,0x1709,2,7,6,5,,2185,2192
10.0.2.16 31.13.80.48 35302 443,2873883486,2873888434,2873888500,2873888504,2873888522,2873888527,,,35302,0x1391,2,74,4,5,,4410,4484
31.13.80.48 10.0.2.16 443 35302,2873984201,2873984206,2873984285,2873984290,2873984309,2873984316,,,443,0x62cb,2,29,5,7,,4021,4050
10.0.2.16 31.13.80.48 43110 443,2873985028,2873985033,2873985110,2873985114,2873985132,2873985137,,,43110,0x33c4,2,29,4,5,,3605,3634
31.13.80.48 10.0.2.16 443 43110,2873986014,2873986018,2873986098,2873986103,2873986121,2873986125,,,443,0x15ef,2,62,5,4,,3222,3284
31.13.80.48 10.0.2.16 443 60112,2873988910,2873995595,2873995669,2873995678,2873995696,2873995705,,,443,0x41ec,2,78,9,9,,6111,6189
10.0.2.16 31.13.80.48 60112 443,2874052994,2874053021,2874053029,2874053036,2874053054,2874053059,,,60112,0x1feb,2,30,7,5,,5737,5767
31.13.80.48 10.0.2.16 443 46338,2874053872,2874053964,2874054043,2874054049,2874054067,2874054071,,,443,0x5a89,2,0,6,4,,2348,2348
31.13.80.48 10.0.2.16 443 47802,2874855383,2874860970,2874861043,2874861049,2874861067,2874861075,,,443,0x4d6f,2,132,6,8,,4988,5120
10.0.2.16 31.13.80.48 47802 443,2874964191,2874964220,2874964272,2874964279,2874964297,2874964306,,,47802,0x69b3,2,28,7,9,,4598,4626
31.13.80.48 10.0.2.16 5222 50572,2874965027,2874969424,2874969490,2874969498,2874969516,2874969523,,,5222,0x7251,2,65,8,7,,5252,5317
10.0.2.16 31.13.80.48 50572 5222,2875111583,2875111597,2875111667,2875111674,2875111692,2875111702,,,50572,0x2680,2,19,7,10,,5012,5031
31.13.80.48 10.0.2.16 443 40160,2875112607,2875112631,2875112665,2875112671,2875112689,2875112695,,,443,0x608a,2,46,6,6,,6951,6997
10.0.2.16 31.13.80.48 40160 443,2875117960,2875117964,2875118043,2875118048,2875118067,2875118075,,,40160,0x4a0d,2,25,5,8,,6531,6556
31.13.80.48 10.0.2.16 5222 41996,2875119268,2875123176,2875123248,2875123255,2875123273,2875123282,,,5222,0x18c9,2,21,7,9,,6075,6096
10.0.2.16 31.13.80.48 47424 443,2875144605,2875147902,2875147975,2875147979,2875147997,2875148004,,,47424,0x5ac9,2,27,4,7,,2748,2775
31.13.80.48 10.0.2.16 443 47424,2875163542,2875163571,2875163594,2875163599,2875163617,2875163623,,,443,0x63b3,2,32,5,6,,2314,2346
31.13.80.48 10.0.2.16 443 44868,2875164013,2875164038,2875164089,2875164092,2875164112,2875164116,,,443,0x22e8,2,61,3,4,,2280,2341
