Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,pipeline_flow_duration,,,,,,
10.0.2.16 13.248.212.111 51222 443,696921688,696938592,696938621,696938625,696938643,696938649,,,51222,0x124e,3,25,4,6,,16666,16691,,,,,,
10.0.2.16 13.248.212.111 51214 443,696924020,696949122,696949173,696949180,696949198,696949208,,,51214,0x4095,3,15,7,10,,24804,24819,,,,,,
13.248.212.111 10.0.2.16 443 48854,696934777,696953201,696953273,696953277,696953294,696953301,,,443,0x3f1f,3,60,4,7,,18168,18228,,,,,,
13.248.212.111 10.0.2.16 443 42070,697306551,697315995,697316003,697316023,697316042,697316061,,,443,0x2ab1,3,32,20,19,,9324,9356,,,,,,
10.0.2.16 13.248.212.111 42070 443,697306187,697316443,697316516,697316522,697316539,697316550,,,42070,0x2cbb,3,39,6,11,,10142,10181,,,,,,
76.223.92.165 10.0.2.16 443 50188,697307632,697320423,697320466,697320470,697320488,697320499,,,443,0x7b36,3,33,4,11,,12628,12661,,,,,,
10.0.2.16 76.223.92.165 50188 443,697308078,697327056,697327077,697327085,697327103,697327114,,,50188,0x468c,3,15,8,11,,18808,18823,,,,,,
10.0.2.16 76.223.92.165 50202 443,697321820,697331459,697331517,697331520,697331538,697331544,,,50202,0x65c3,3,47,3,6,,9599,9646,,,,,,
10.0.2.16 13.248.212.111 42060 443,697317447,697338089,697338146,697338149,697338167,697338172,,,42060,0x5de1,3,24,3,5,,20379,20403,,,,,,
76.223.92.165 10.0.2.16 443 51052,697390844,697408582,697408655,697408663,697408681,697408691,,,443,0x2dc4,3,26,8,10,,17574,17600,,,,,,
10.0.2.16 76.223.92.165 51066 443,697389104,697411655,697411676,697411679,697411698,697411703,,,51066,0x6edc,3,17,3,5,,22375,22392,,,,,,
13.248.212.111 10.0.2.16 443 54414,697398061,697413183,697413256,697413259,697413276,697413282,,,443,0x7078,3,69,3,6,,15022,15091,,,,,,
10.0.2.16 76.223.92.165 51052 443,697391315,697424768,697424775,697424780,697424798,697424806,,,51052,0x4d93,3,75,5,8,,33193,33268,,,,,,
10.0.2.16 13.248.212.111 53378 443,697653904,697668461,697668483,697668501,697668520,697668535,,,53378,0x18f0,3,56,18,15,,14373,14429,,,,,,
13.248.212.111 10.0.2.16 443 53378,697653583,697668918,697668990,697668996,697669014,697669024,,,443,0x4503,3,56,6,10,,15181,15237,,,,,,
10.0.2.16 76.223.92.165 49160 443,697654237,697676199,697676265,697676272,697676290,697676300,,,49160,0x5365,3,51,7,10,,21726,21777,,,,,,
10.0.2.16 76.223.92.165 49162 443,697656455,697680154,697680226,697680229,697680247,697680252,,,49162,0x70e4,3,29,3,5,,23385,23414,,,,,,
13.248.212.111 10.0.2.16 443 55030,697863679,697881072,697881086,697881091,697881109,697881115,,,443,0x17b0,3,89,5,6,,17221,17310,,,,,,
13.248.212.111 10.0.2.16 443 55016,697862623,697882927,697882983,697882986,697883004,697883008,,,443,0x74bb,3,15,3,4,,20054,20069,,,,,,
10.0.2.16 13.248.212.111 55016 443,697862266,697883388,697883460,697883462,697883480,697883484,,,55016,0x65ec,3,17,2,4,,20850,20867,,,,,,
13.248.212.111 10.0.2.16 443 42516,697870600,697885589,697885660,697885663,697885681,697885687,,,443,0x2cac,3,86,3,6,,14822,14908,,,,,,
10.0.2.16 13.248.212.111 55030 443,697864150,697900597,697900671,697900682,697900702,697900714,,,55030,0x2545,3,10,11,12,,36017,36027,,,,,,
13.248.212.111 10.0.2.16 443 59122,698107948,698117073,698117145,698117152,698117170,698117183,,,443,0x3fdd,3,14,7,13,,9068,9082,,,,,,
13.248.212.111 10.0.2.16 443 53468,698446502,698458134,698458144,698458161,698458181,698458200,,,443,0x600c,3,19,17,19,,11458,11477,,,,,,
13.248.212.111 10.0.2.16 443 55754,698445325,698464984,698464986,698464989,698465007,698465013,,,443,0x1b73,3,15,3,6,,19351,19366,,,,,,
13.248.212.111 10.0.2.16 443 33078,698620678,698624969,698625005,698625017,698625036,698625050,,,443,0x1575,3,75,12,14,,4275,4350,,,,,,
13.248.212.111 10.0.2.16 443 58456,698674341,698682803,698682875,698682882,698682901,698682912,,,443,0x2587,3,24,7,11,,8349,8373,,,,,,
76.223.92.165 10.0.2.16 443 45868,698673254,698683923,698683995,698683999,698684017,698684025,,,443,0x28d2,3,26,4,8,,10491,10517,,,,,,
10.0.2.16 13.248.212.111 58456 443,698674784,698689754,698689826,698689833,698689851,698689858,,,58456,0x5df6,3,23,7,7,,14814,14837,,,,,,
76.223.92.165 10.0.2.16 443 43520,698792133,698799661,698799734,698799742,698799761,698799770,,,443,0x7517,3,16,8,9,,7433,7449,,,,,,
10.0.2.16 76.223.92.165 43526 443,698790687,698801313,698801333,698801336,698801354,698801360,,,43526,0x35f4,3,70,3,6,,10550,10620,,,,,,
10.0.2.16 76.223.92.165 43520 443,698792573,698812892,698812964,698812971,698812989,698812998,,,43520,0x2786,3,28,7,9,,20088,20116,,,,,,
76.223.92.165 10.0.2.16 443 50464,698877009,698881415,698881480,698881489,698881507,698881516,,,443,0x3953,3,19,9,9,,4348,4367,,,,,,
76.223.92.165 10.0.2.16 443 50462,698882213,698888534,698888564,698888567,698888585,698888592,,,443,0x395a,3,52,3,7,,6276,6328,,,,,,
10.0.2.16 76.223.92.165 50462 443,698881774,698888972,698889044,698889049,698889067,698889074,,,50462,0x464e,3,32,5,7,,7066,7098,,,,,,
10.0.2.16 13.248.212.111 36612 443,699026678,699032389,699032443,699032450,699032468,699032478,,,36612,0x6442,3,91,7,10,,5665,5756,,,,,,
13.248.212.111 10.0.2.16 443 44614,699038547,699043749,699043782,699043786,699043804,699043811,,,443,0x7308,3,96,4,7,,5130,5226,,,,,,
10.0.2.16 13.248.212.111 44614 443,699038990,699051463,699051510,699051517,699051535,699051545,,,44614,0x714e,3,62,7,10,,12326,12388,,,,,,
76.223.92.165 10.0.2.16 443 52284,699200138,699207483,699207556,699207567,699207586,699207600,,,443,0x317a,3,27,11,14,,7234,7261,,,,,,
76.223.92.165 10.0.2.16 443 52278,699198847,699208610,699208681,699208686,699208704,699208713,,,443,0x422c,3,87,5,9,,9598,9685,,,,,,
10.0.2.16 76.223.92.165 52278 443,699198404,699208968,699209010,699209014,699209032,699209040,,,52278,0x1d98,3,39,4,8,,10432,10471,,,,,,
13.248.212.111 10.0.2.16 443 59344,699378443,699382808,699382880,699382886,699382905,699382910,,,443,0x6f32,3,18,6,5,,4268,4286,,,,,,
10.0.2.16 13.248.212.111 59344 443,699378894,699385315,699385387,699385393,699385411,699385417,,,59344,0x375c,3,44,6,6,,6323,6367,,,,,,
13.248.212.111 10.0.2.16 443 39764,699392963,699401690,699401762,699401766,699401784,699401790,,,443,0x6fca,3,28,4,6,,8685,8713,,,,,,
10.0.2.16 13.248.212.111 39764 443,699392515,699402167,699402239,699402243,699402266,699402274,,,39764,0x5308,3,6,4,8,,9470,9476,,,,,,
13.248.212.111 10.0.2.16 443 39770,699395650,699403897,699403970,699403973,699403991,699403998,,,443,0x7d40,3,10,3,7,,8156,8166,,,,,,
13.248.212.111 10.0.2.16 443 59810,699437902,699447279,699447351,699447354,699447372,699447378,,,443,0x347c,3,53,3,6,,9257,9310,,,,,,
10.0.2.16 13.248.212.111 59810 443,699437453,699447653,699447671,699447674,699447691,699447697,,,59810,0x265e,3,19,3,6,,10056,10075,,,,,,
76.223.92.165 10.0.2.16 443 56022,699621820,699626777,699626835,699626852,699626871,699626888,,,443,0x3d54,3,9,17,17,,4892,4901,,,,,,
10.0.2.16 76.223.92.165 56022 443,699622268,699629894,699629960,699629967,699629985,699629996,,,56022,0x1456,3,15,7,11,,7558,7573,,,,,,
76.223.92.165 10.0.2.16 443 56032,699627572,699636858,699636930,699636935,699636953,699636962,,,443,0x7ee5,3,42,5,9,,9211,9253,,,,,,
13.248.212.111 10.0.2.16 443 55626,699848493,699859152,699859225,699859239,699859258,699859270,,,443,0x618a,3,68,14,12,,10640,10708,,,,,,
