Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,pipeline_flow_duration
10.0.2.16 31.13.80.34 46438 443,405815448,405815532,405815612,405815617,405815635,405815643,,,46438,0x3515,5,9,5,8,,19357,19366
10.0.2.16 31.13.80.34 56090 443,405977761,405977793,405977827,405977844,405977866,405977880,,,56090,0x2e4e,5,40,17,14,,2866,2906
10.0.2.16 31.13.80.34 59216 443,405979847,405979857,405979924,405979928,405979946,405979951,,,59216,0x2d8f,5,77,4,5,,2656,2733
31.13.80.8 10.0.2.16 443 39606,405983265,405983343,405983416,405983420,405983439,405983444,,,443,0x5e91,5,43,4,5,,10218,10261
10.0.2.16 31.13.80.34 38798 443,405983801,405986152,405986207,405986212,405986230,405986236,,,38798,0x7db9,5,20,5,6,,2327,2347
31.13.80.8 10.0.2.16 443 44226,406005992,406006120,406006197,406006201,406006219,406006222,,,443,0x4593,5,19,4,3,,2218,2237
10.0.2.16 31.13.80.34 36688 443,406006173,406006278,406006352,406006357,406006374,406006380,,,36688,0x6887,5,86,5,6,,3215,3301
31.13.80.34 10.0.2.16 443 44040,406011619,406011622,406011698,406011704,406011722,406011731,,,443,0x450f,5,28,6,9,,18511,18539
10.0.2.16 31.13.80.8 35610 443,406012394,406012439,406012469,406012473,406012491,406012499,,,35610,0x4810,5,79,4,8,,7313,7392
31.13.80.8 10.0.2.16 443 35610,406012551,406012554,406012632,406012636,406012654,406012659,,,443,0x2162,5,26,4,5,,7615,7641
10.0.2.16 31.13.80.8 34424 443,406012876,406012885,406012948,406012951,406012970,406012973,,,34424,0x285c,5,35,3,3,,4345,4380
31.13.80.34 10.0.2.16 443 38210,406013178,406013181,406013259,406013262,406013280,406013283,,,443,0x6220,5,40,3,3,,19469,19509
10.0.2.16 31.13.80.8 52768 443,406013943,406013954,406014021,406014024,406014042,406014045,,,52768,0x1b7c,5,115,3,3,,12561,12676
31.13.80.8 10.0.2.16 443 52768,406014095,406014099,406014178,406014183,406014201,406014208,,,443,0x4917,5,12,5,7,,12906,12918
10.0.2.16 31.13.80.34 59240 443,406014280,406014302,406014361,406014367,406014387,406014397,,,59240,0x6bdf,5,29,6,10,,4645,4674
31.13.80.34 10.0.2.16 443 59240,406014745,406014879,406014959,406014962,406014979,406014983,,,443,0x568e,5,93,3,4,,4239,4332
31.13.80.34 10.0.2.16 443 56784,406015327,406015330,406015404,406015406,406015424,406015427,,,443,0x1cc5,5,8,2,3,,26118,26126
31.13.80.8 10.0.2.16 443 47938,406015784,406015786,406015859,406015861,406015879,406015882,,,443,0x1cee,5,86,2,3,,8850,8936
31.13.80.8 10.0.2.16 443 40436,406016645,406016739,406016819,406016821,406016838,406016842,,,443,0x4c90,5,29,2,4,,8272,8301
10.0.2.16 31.13.80.8 48886 443,406019902,406019982,406020059,406020065,406020083,406020091,,,48886,0x28ac,5,81,6,8,,10597,10678
31.13.80.34 10.0.2.16 443 36514,406020307,406020323,406020390,406020394,406020421,406020425,,,443,0x518b,5,15,4,4,,5548,5563
10.0.2.16 31.13.80.34 41118 443,406021822,406021866,406021904,406021909,406021940,406021946,,,41118,0x2e73,5,61,5,6,,2488,2549
10.0.2.16 31.13.80.8 59306 443,406073828,406073866,406073890,406073896,406073914,406073922,,,59306,0x458b,5,27,6,8,,17909,17936
31.13.80.8 10.0.2.16 443 42166,406075004,406075078,406075158,406075166,406075184,406075193,,,443,0x2807,5,48,8,9,,11881,11929
10.0.2.16 31.13.80.34 51166 443,406075249,406075268,406075330,406075333,406075353,406075359,,,51166,0x6e30,5,57,3,6,,2617,2674
31.13.80.8 10.0.2.16 443 47890,406076133,406076222,406076304,406076309,406076327,406076333,,,443,0x2b6b,5,98,5,6,,3326,3424
31.13.80.34 10.0.2.16 443 34606,406076433,406076537,406076616,406076619,406076636,406076639,,,443,0x52da,5,46,3,3,,8059,8105
10.0.2.16 31.13.80.34 34606 443,406076742,406076765,406076768,406076773,406076791,406076797,,,34606,0x5d87,5,19,5,6,,8083,8102
10.0.2.16 31.13.80.34 41062 443,406077002,406077024,406077077,406077082,406077100,406077105,,,41062,0x7efb,5,15,5,5,,5679,5694
31.13.80.34 10.0.2.16 443 41062,406077316,406077339,406077384,406077388,406077406,406077409,,,443,0x3d53,5,21,4,3,,5289,5310
31.13.80.34 10.0.2.16 443 42472,406077918,406077921,406078000,406078004,406078022,406078025,,,443,0x413c,5,17,4,3,,22535,22552
31.13.80.8 10.0.2.16 443 56554,406080151,406080155,406080232,406080235,406080253,406080256,,,443,0x3124,5,29,3,3,,12048,12077
10.0.2.16 31.13.80.8 38076 443,406080222,406080306,406080385,406080392,406080409,406080416,,,38076,0x20f0,5,106,7,7,,3428,3534
31.13.80.8 10.0.2.16 443 38076,406080308,406080311,406080388,406080392,406080412,406080418,,,443,0x12e0,5,25,4,6,,3596,3621
31.13.80.8 10.0.2.16 443 59818,406100638,406100673,406100700,406100706,406100723,406100727,,,443,0x2a8d,5,18,6,4,,9713,9731
10.0.2.16 31.13.80.34 44160 443,406162907,406162910,406162989,406162996,406163014,406163023,,,44160,0x7405,5,12,7,9,,25657,25669
10.0.2.16 31.13.80.8 48206 443,406260587,406260591,406260669,406260673,406260691,406260695,,,48206,0x75ce,5,80,4,4,,12436,12516
31.13.80.8 10.0.2.16 443 48206,406260745,406260749,406260825,406260828,406260847,406260850,,,443,0x5a61,5,69,3,3,,12432,12501
10.0.2.16 31.13.80.34 37138 443,406260901,406260905,406260982,406260987,406261005,406261012,,,37138,0x21b9,5,67,5,7,,20806,20873
10.0.2.16 31.13.80.34 46356 443,406273270,406273273,406273351,406273356,406273374,406273380,,,46356,0x6cc5,5,9.09E-13,5,6,,8117,8117
31.13.80.8 10.0.2.16 443 47094,406282539,406282614,406282687,406282690,406282708,406282712,,,443,0x5a98,5,42,3,4,,3063,3105
31.13.80.34 10.0.2.16 443 48798,406290747,406294229,406294250,406294253,406294274,406294279,,,443,0x28dd,5,64,3,5,,3470,3534
10.0.2.16 31.13.80.34 48798 443,406346667,406346741,406346823,406346831,406346850,406346861,,,48798,0x1b2b,5,86,8,11,,3473,3559
31.13.80.8 10.0.2.16 443 39634,406361687,406361792,406361865,406361870,406361888,406361894,,,443,0x1a4b,5,6,5,6,,3464,3470
10.0.2.16 31.13.80.8 45318 443,406361963,406364178,406364209,406364213,406364231,406364239,,,45318,0x416e,5,30,4,8,,12417,12447
10.0.2.16 31.13.80.34 49942 443,406409161,406409255,406409336,406409343,406409361,406409371,,,49942,0x3f14,5,15,7,10,,5109,5124
10.0.2.16 31.13.80.34 33822 443,406409559,406409564,406409641,406409645,406409663,406409668,,,33822,0x3842,5,22,4,5,,5314,5336
31.13.80.34 10.0.2.16 443 33822,406409758,406409783,406409800,406409805,406409823,406409827,,,443,0x33ad,5,40,5,4,,4911,4951
31.13.80.8 10.0.2.16 443 39262,406430537,406430572,406430603,406430606,406430623,406430626,,,443,0x3122,5,59,3,3,,11971,12030
31.13.80.34 10.0.2.16 443 40492,406430993,406436178,406436250,406436254,406436272,406436277,,,443,0x7e97,5,29,4,5,,5135,5164
31.13.80.34 10.0.2.16 443 43700,406473904,406473909,406473985,406473990,406474008,406474011,,,443,0x68f9,5,11,5,3,,5908,5919
10.0.2.16 31.13.80.34 46156 443,406474349,406476691,406476758,406476763,406476781,406476787,,,46156,0x7387,5,43,5,6,,2360,2403
10.0.2.16 31.13.80.8 57670 443,406536646,406536743,406536823,406536836,406536854,406536869,,,57670,0x63da,5,32,13,15,,5382,5414
31.13.80.34 10.0.2.16 443 48770,406536919,406536924,406537000,406537004,406537022,406537026,,,443,0x7b38,5,19,4,4,,17805,17824
10.0.2.16 31.13.80.8 59586 443,406539332,406539375,406539410,406539415,406539433,406539440,,,59586,0x37ad,5,47,5,7,,9346,9393
31.13.80.8 10.0.2.16 443 59586,406540176,406540180,406540254,406540257,406540275,406540279,,,443,0x4f30,5,47,3,4,,9501,9548
10.0.2.16 31.13.80.8 35200 443,406541042,406544314,406544386,406544389,406544408,406544414,,,35200,0x2278,5,36,3,6,,3192,3228
31.13.80.8 10.0.2.16 443 35200,406550000,406550097,406550171,406550174,406550192,406550196,,,443,0x29bb,5,66,3,4,,3334,3400
31.13.80.8 10.0.2.16 443 54626,406649027,406649045,406649108,406649115,406649133,406649139,,,443,0x53a9,5,28,7,6,,10477,10505
31.13.80.34 10.0.2.16 443 36010,406662327,406662360,406662370,406662376,406662394,406662399,,,443,0x62c4,5,24,6,5,,4937,4961
31.13.80.34 10.0.2.16 443 54514,406680373,406680386,406680450,406680453,406680471,406680476,,,443,0x14e5,5,36,3,5,,4604,4640
10.0.2.16 31.13.80.8 33428 443,406680693,406680812,406680891,406680896,406680913,406680922,,,33428,0x5c00,5,35,5,9,,3483,3518
10.0.2.16 31.13.80.34 52758 443,406682115,406682124,406682193,406682197,406682215,406682222,,,52758,0x37b5,5,18,4,7,,15950,15968
10.0.2.16 31.13.80.8 38796 443,406683273,406683314,406683353,406683359,406683377,406683383,,,38796,0x4535,5,29,6,6,,8224,8253
31.13.80.34 10.0.2.16 443 33086,406686383,406686470,406686537,406686543,406686561,406686566,,,443,0x44b3,5,80,6,5,,4604,4684
31.13.80.34 10.0.2.16 443 42494,406687976,406688065,406688139,406688142,406688160,406688163,,,443,0x618f,5,32,3,3,,5815,5847
10.0.2.16 31.13.80.34 39222 443,406778729,406778789,406778807,406778817,406778836,406778844,,,39222,0x3a04,5,19,10,8,,2832,2851
31.13.80.34 10.0.2.16 443 38262,406784153,406784234,406784314,406784320,406784339,406784343,,,443,0x117f,5,82,6,4,,4591,4673
31.13.80.8 10.0.2.16 443 39960,406844688,406844695,406844768,406844772,406844790,406844795,,,443,0x3208,5,30,4,5,,9998,10028
31.13.80.34 10.0.2.16 443 57840,406844751,406844845,406844923,406844926,406844944,406844948,,,443,0x79a6,5,19,3,4,,3747,3766
10.0.2.16 31.13.80.34 52988 443,406894573,406894601,406894655,406894668,406894687,406894700,,,52988,0x7581,5,13,13,13,,2411,2424
31.13.80.8 10.0.2.16 443 39692,406895083,406895178,406895260,406895272,406895290,406895296,,,443,0x46be,5,27,12,6,,7243,7270
10.0.2.16 31.13.80.8 42192 443,406898883,406902203,406902278,406902281,406902299,406902307,,,42192,0x3f17,5,32,3,8,,3276,3308
31.13.80.8 10.0.2.16 443 42192,406906191,406906248,406906270,406906273,406906291,406906295,,,443,0x5c33,5,35,3,4,,3413,3448
10.0.2.16 31.13.80.8 40402 443,407016166,407016250,407016324,407016331,407016349,407016358,,,40402,0x36b3,5,47,7,9,,11851,11898
31.13.80.8 10.0.2.16 443 40402,407016408,407016411,407016483,407016486,407016505,407016510,,,443,0x7ea0,5,24,3,5,,12198,12222
10.0.2.16 31.13.80.34 55424 443,407016719,407016866,407016942,407016948,407016965,407016974,,,55424,0x5658,5,49,6,9,,10476,10525
31.13.80.8 10.0.2.16 443 60806,407020010,407020038,407020090,407020093,407020120,407020127,,,443,0x7cf4,5,34,3,7,,2496,2530
