Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,pipeline_flow_duration,,,,,,
10.0.2.16 20.189.173.14 37744 443,277880591,277886030,277886034,277886038,277886056,277886064,,,37744,0x36a8,6,37,4,8,,5374,5411,,,,,,
10.0.2.16 23.102.169.166 58466 443,277933627,277944149,277944225,277944230,277944248,277944257,,,58466,0x4bfe,6,30,5,9,,10377,10407,,,,,,
23.102.169.166 10.0.2.16 443 58466,277933274,277944484,277944557,277944561,277944579,277944588,,,443,0x1ae1,6,118,4,9,,11088,11206,,,,,,
23.102.169.166 10.0.2.16 443 58454,277937669,277947560,277947599,277947603,277947620,277947628,,,443,0x69be,6,32,4,8,,9814,9846,,,,,,
10.0.2.16 137.117.16.35 44758 443,277959389,277965615,277965625,277965630,277965648,277965654,,,44758,0x10dd,6,42,5,6,,6188,6230,,,,,,
137.117.16.35 10.0.2.16 443 44758,277958966,277966038,277966110,277966113,277966131,277966137,,,443,0x6144,6,37,3,6,,6980,7017,,,,,,
10.0.2.16 52.232.209.85 44306 443,277979023,277984261,277984332,277984336,277984354,277984362,,,44306,0x1533,6,28,4,8,,5097,5125,,,,,,
23.96.94.139 10.0.2.16 443 56148,277984904,277989988,277990043,277990047,277990064,277990072,,,443,0x254e,6,101,4,8,,5066,5167,,,,,,
10.0.2.16 20.42.73.24 51886 443,277973483,277991087,277991159,277991162,277991180,277991188,,,51886,0x7401,6,27,3,8,,17401,17428,,,,,,
20.42.73.24 10.0.2.16 443 51886,277973836,277992590,277992595,277992599,277992617,277992625,,,443,0x6ae2,6,24,4,8,,18550,18574,,,,,,
13.89.179.10 10.0.2.16 443 53662,278108102,278126356,278126428,278126432,278126450,278126459,,,443,0x2ee4,6,18,4,9,,18167,18185,,,,,,
10.0.2.16 137.117.16.35 36362 443,278107095,278162968,278163040,278163047,278163065,278163074,,,36362,0x1e39,6,30,7,9,,55367,55397,,,,,,
52.113.194.132 10.0.2.16 443 60774,278408151,278423013,278423068,278423077,278423095,278423110,,,443,0x385c,6,7,9,15,,14789,14796,,,,,,
10.0.2.16 20.189.173.13 41110 443,278426354,278431921,278431985,278431991,278432010,278432021,,,41110,0x670d,6,41,6,11,,5562,5603,,,,,,
10.0.2.16 20.189.173.6 33872 443,278476211,278482516,278482589,278482593,278482611,278482619,,,33872,0x3f1a,6,24,4,8,,6212,6236,,,,,,
20.189.173.6 10.0.2.16 443 33872,278475879,278483318,278483389,278483394,278483412,278483421,,,443,0x7c25,6,76,5,9,,7369,7445,,,,,,
23.102.169.166 10.0.2.16 443 53912,278660088,278671002,278671074,278671079,278671097,278671106,,,443,0x6990,6,30,5,9,,10836,10866,,,,,,
10.0.2.16 23.102.169.166 53912 443,278660446,278671368,278671405,278671408,278671426,278671430,,,53912,0x487e,6,26,3,4,,10814,10840,,,,,,
10.0.2.16 23.102.169.166 53918 443,278659771,278673095,278673166,278673169,278673187,278673193,,,53918,0x5a0c,6,5,3,6,,13188,13193,,,,,,
137.117.16.35 10.0.2.16 443 58828,278712617,278723689,278723755,278723759,278723777,278723788,,,443,0x5514,6,30,4,11,,10959,10989,,,,,,
10.0.2.16 52.182.143.210 41408 443,278756741,278760980,278761054,278761072,278761092,278761110,,,41408,0x6058,6,26,18,18,,4140,4166,,,,,,
13.89.178.27 10.0.2.16 443 58982,278829875,278833818,278833892,278833909,278833929,278833944,,,443,0x159a,6,20,17,15,,3842,3862,,,,,,
10.0.2.16 13.89.178.27 58982 443,278828494,278834084,278834085,278834093,278834111,278834123,,,58982,0x2c6f,6,30,8,12,,5520,5550,,,,,,
20.189.173.3 10.0.2.16 443 43542,278867985,278871794,278871845,278871853,278871871,278871878,,,443,0x5e1a,6,31,8,7,,3843,3874,,,,,,
23.102.169.166 10.0.2.16 443 34100,278880847,278897980,278898001,278898006,278898025,278898038,,,443,0x6c37,6,104,5,13,,17094,17198,,,,,,
52.177.138.113 10.0.2.16 443 39804,278910656,278915759,278915789,278915793,278915811,278915821,,,443,0x7d50,6,22,4,10,,5098,5120,,,,,,
10.0.2.16 52.177.138.113 39804 443,278910991,278916206,278916281,278916285,278916303,278916311,,,39804,0x55b2,6,26,4,8,,5084,5110,,,,,,
23.96.94.139 10.0.2.16 443 43620,278879422,278920168,278920247,278920252,278920270,278920277,,,443,0x60c3,6,12,5,7,,40332,40344,,,,,,
20.50.80.209 10.0.2.16 443 34322,278926037,278931904,278931976,278931979,278931998,278932006,,,443,0x4373,6,45,3,8,,5846,5891,,,,,,
10.0.2.16 137.117.16.35 49200 443,278940494,278961489,278961562,278961566,278961584,278961592,,,49200,0x33e3,6,24,4,8,,20686,20710,,,,,,
10.0.2.16 52.168.117.170 54526 443,279340063,279344648,279344719,279344728,279344746,279344760,,,54526,0x4c5f,6,26,9,14,,4533,4559,,,,,,
137.117.16.35 10.0.2.16 443 47788,279364047,279378631,279378662,279378666,279378685,279378693,,,443,0x16e5,6,96,4,8,,14404,14500,,,,,,
10.0.2.16 137.117.16.35 47788 443,279364470,279380823,279380895,279380900,279380918,279380925,,,47788,0x737b,6,89,5,7,,16122,16211,,,,,,
13.69.239.74 10.0.2.16 443 55186,279393513,279421158,279421230,279421235,279421253,279421261,,,443,0x2aa7,6,50,5,8,,27333,27383,,,,,,
10.0.2.16 23.102.169.166 46682 443,279699782,279710896,279710917,279710926,279710944,279710956,,,46682,0x22f0,6,15,9,12,,11000,11015,,,,,,
10.0.2.16 23.102.169.166 46704 443,279701878,279721155,279721227,279721233,279721251,279721261,,,46704,0x761c,6,18,6,10,,19008,19026,,,,,,
10.0.2.16 137.117.16.35 37236 443,279717202,279724662,279724735,279724739,279724757,279724767,,,37236,0x32da,6,29,4,10,,7443,7472,,,,,,
137.117.16.35 10.0.2.16 443 37236,279716765,279725029,279725067,279725071,279725089,279725100,,,443,0x3dc4,6,25,4,11,,8187,8212,,,,,,
