timestamp,"
  flow_id_hex",pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,delta_0_ms,delta_1,delta_3
2026-01-31T16:54:17.865601Z,0x2a94,1309404635,1309637236,1309637304,1309637316,1309637371,1309637382,232.601,12,11
2026-01-31T16:54:22.823112Z,0x3fef,1314695923,1314998623,1314998696,1314998708,1314998763,1314998777,302.7,12,14
2026-01-31T16:54:28.416930Z,0x383,1320056135,1320384814,1320384885,1320384897,1320384952,1320384965,328.679,12,13
2026-01-31T16:54:33.935906Z,0x167b,1325443335,1325609125,1325609172,1325609188,1325609244,1325609258,165.79,16,14
2026-01-31T16:54:38.872733Z,0x2a17,1330664734,1330811252,1330811323,1330811336,1330811392,1330811405,146.518,13,13
2026-01-31T16:54:44.478792Z,0x3f6c,1335866074,1336200995,1336201066,1336201080,1336201136,1336201150,334.921,14,14
2026-01-31T16:54:49.410809Z,0x300,1341266253,1341602631,1341602698,1341602710,1341602766,1341602778,336.378,12,12
2026-01-31T16:54:54.998962Z,0x4455,1346663476,1346878384,1346878399,1346878410,1346878466,1346878480,214.908,11,14
2026-01-31T16:54:59.935174Z,0x7839,1351937767,1352117585,1352117655,1352117667,1352117722,1352117735,179.818,12,13
2026-01-31T16:55:05.532976Z,0x6d42,1357175181,1357502826,1357502830,1357502845,1357502901,1357502916,327.645,15,15
2026-01-31T16:55:11.064152Z,0x512e,1362561406,1362705563,1362705622,1362705634,1362705690,1362705704,144.157,12,14
2026-01-31T16:55:15.997147Z,0x177d,1367763701,1367986424,1367986495,1367986507,1367986563,1367986576,222.723,12,13
2026-01-31T16:55:21.582036Z,0x2b11,1373048084,1373270502,1373270573,1373270583,1373270639,1373270651,222.418,10,12
2026-01-31T16:55:26.509323Z,0x3e6a,1378324316,1378503326,1378503397,1378503408,1378503464,1378503477,179.01,11,13
2026-01-31T16:55:32.027933Z,0x206,1383557673,1383740247,1383740295,1383740305,1383740360,1383740374,182.574,10,14
2026-01-31T16:55:38.284086Z,0x60a5,1388796998,1390168296,1390168367,1390168381,1390168436,1390168451,1371.298,14,15
2026-01-31T16:55:44.554332Z,0x5fa5,1395225299,1396333410,1396333421,1396333435,1396333491,1396333506,1108.111,14,15
2026-01-31T16:55:54.782046Z,0x76b2,1406645133,1406847917,1406847988,1406848002,1406848063,1406848077,202.784,14,14
2026-01-31T16:56:00.376803Z,0x6026,1411907448,1412123895,1412123965,1412123977,1412124036,1412124050,216.447,12,14
2026-01-31T16:56:05.311220Z,0x5f26,1417180821,1417321505,1417321564,1417321577,1417321633,1417321646,140.684,13,13
2026-01-31T16:56:10.913143Z,0x4931,1422386145,1422554950,1422554994,1422555008,1422555065,1422555077,168.805,14,12
2026-01-31T16:56:15.856056Z,0x7631,1427614550,1427804325,1427804396,1427804406,1427804462,1427804475,189.775,10,13
2026-01-31T16:56:21.373074Z,0x3208,1432863818,1433083011,1433083066,1433083079,1433083134,1433083146,219.193,13,12
2026-01-31T16:56:26.317095Z,0xd08,1438140119,1438320745,1438320788,1438320802,1438320857,1438320867,180.626,14,10
2026-01-31T16:56:31.916567Z,0x1b1f,1443380476,1443565800,1443565834,1443565846,1443565902,1443565914,185.324,12,12
2026-01-31T16:56:36.865786Z,0x241f,1448623826,1448797639,1448797709,1448797718,1448797774,1448797786,173.813,9,12
2026-01-31T16:56:42.384856Z,0x3087,1453857152,1454036715,1454036785,1454036799,1454036855,1454036867,179.563,14,12
2026-01-31T16:56:47.314027Z,0xf87,1459093700,1459203522,1459203579,1459203593,1459203648,1459203663,109.822,14,15
2026-01-31T16:56:52.827225Z,0x1990,1464261894,1464481888,1464481958,1464481972,1464482028,1464482040,219.994,14,12
2026-01-31T16:56:57.765456Z,0x2690,1469540202,1469772073,1469772095,1469772106,1469772163,1469772175,231.871,11,12
2026-01-31T16:57:03.353656Z,0x62a9,1474829499,1475043020,1475043091,1475043102,1475043158,1475043169,213.521,11,11
2026-01-31T16:57:08.298030Z,0x5da9,1480105867,1480292647,1480292698,1480292710,1480292766,1480292776,186.78,12,10
2026-01-31T16:57:13.897070Z,0x4bbe,1485357160,1485579017,1485579088,1485579101,1485579157,1485579169,221.857,13,12
2026-01-31T16:57:18.824542Z,0x74be,1490639448,1490828231,1490828301,1490828315,1490828371,1490828385,188.783,14,14
2026-01-31T16:57:24.414877Z,0x622a,1495889741,1496099574,1496099644,1496099657,1496099714,1496099726,209.833,13,12
2026-01-31T16:57:29.339130Z,0x5d2a,1501158101,1501281150,1501281217,1501281229,1501281284,1501281298,123.049,12,14
2026-01-31T16:57:34.857182Z,0x4b3d,1506337440,1506546508,1506546578,1506546589,1506546645,1506546656,209.068,11,11
2026-01-31T16:57:39.801237Z,0x743d,1511602771,1511806805,1511806875,1511806885,1511806942,1511806954,204.034,10,12
2026-01-31T16:57:45.319574Z,0x3004,1516867060,1517032758,1517032828,1517032839,1517032895,1517032905,165.698,11,10
2026-01-31T16:57:50.259154Z,0xf04,1522094458,1522236979,1522237038,1522237051,1522237107,1522237118,142.521,13,11
2026-01-31T16:57:55.778402Z,0x1913,1527293835,1527459602,1527459672,1527459684,1527459739,1527459750,165.767,12,11
2026-01-31T16:58:00.716112Z,0x2613,1532517159,1532622869,1532622882,1532622895,1532622951,1532622963,105.71,13,12
2026-01-31T16:58:11.611810Z,0x5c2c,1543375578,1543577037,1543577108,1543577133,1543577191,1543577209,201.459,25,18
2026-01-31T16:58:17.121694Z,0x4a3b,1548638792,1548791869,1548791884,1548791908,1548791966,1548791986,153.077,24,20
2026-01-31T16:58:22.061538Z,0x753b,1553853190,1553975442,1553975513,1553975538,1553975596,1553975615,122.252,25,19
2026-01-31T16:58:27.579038Z,0x3102,1559039636,1559251822,1559251894,1559251920,1559251978,1559252001,212.186,26,23
2026-01-31T16:58:32.505084Z,0xe02,1564307907,1564478728,1564478794,1564478819,1564478876,1564478896,170.821,25,20
2026-01-31T16:58:44.066062Z,0x7982,1576040458,1576210946,1576210951,1576210976,1576211033,1576211053,170.488,25,20
2026-01-31T16:58:49.667866Z,0x745a,1581268801,1581472349,1581472382,1581472397,1581472453,1581472470,203.548,15,17
2026-01-31T16:58:54.598078Z,0x5016,1586531113,1586723953,1586723983,1586723996,1586724056,1586724070,192.84,13,14
2026-01-31T16:59:00.199969Z,0x5d4d,1591782419,1592002597,1592002668,1592002680,1592002735,1592002748,220.178,12,13
2026-01-31T16:59:05.134984Z,0x7901,1597062773,1597282190,1597282261,1597282273,1597282329,1597282339,219.417,12,10
2026-01-31T16:59:10.729459Z,0x2674,1602344136,1602534012,1602534082,1602534094,1602534150,1602534163,189.876,12,13
2026-01-31T16:59:15.657439Z,0x238,1607592402,1607759023,1607759052,1607759068,1607759124,1607759137,166.621,16,13
2026-01-31T16:59:21.257440Z,0xf63,1612814683,1613005303,1613005317,1613005331,1613005386,1613005401,190.62,14,15
2026-01-31T16:59:26.195335Z,0x2b2f,1618058017,1618185691,1618185761,1618185776,1618185831,1618185845,127.674,15,14
2026-01-31T16:59:31.704675Z,0x7144,1623243475,1623406493,1623406564,1623406576,1623406632,1623406646,163.018,12,14
2026-01-31T16:59:36.652636Z,0x5508,1628462807,1628596698,1628596768,1628596780,1628596835,1628596847,133.891,12,12
2026-01-31T16:59:42.158744Z,0x5853,1633662141,1633865553,1633865624,1633865635,1633865691,1633865701,203.412,11,10
2026-01-31T16:59:47.084496Z,0x7c1f,1638923506,1639123054,1639123059,1639123073,1639123128,1639123139,199.548,14,11
2026-01-31T16:59:52.694956Z,0x236a,1644179793,1644398829,1644398900,1644398913,1644398969,1644398981,219.036,13,12
2026-01-31T16:59:57.636878Z,0x726,1649453078,1649653823,1649653868,1649653881,1649653937,1649653948,200.745,13,11
2026-01-31T17:00:03.230118Z,0xa7d,1654708404,1654917614,1654917684,1654917699,1654917754,1654917766,209.21,15,12
2026-01-31T17:00:08.153970Z,0x2e31,1659980762,1660193641,1660193710,1660193723,1660193778,1660193789,212.879,13,11
2026-01-31T17:00:13.770966Z,0x23e9,1665255086,1665430824,1665430894,1665430910,1665430966,1665430979,175.738,16,13
2026-01-31T17:00:18.695707Z,0x7a5,1670485409,1670666606,1670666655,1670666668,1670666724,1670666736,181.197,13,12
2026-01-31T17:00:25.604497Z,0x6849,1675721731,1677382941,1677383011,1677383026,1677383082,1677383097,1661.21,15,15
2026-01-31T17:00:31.855106Z,0x1b6f,1682436723,1683964126,1683964130,1683964143,1683964199,1683964212,1527.403,13,13
2026-01-31T17:00:40.759832Z,0x1370,1689024871,1692449325,1692449382,1692449397,1692449453,1692449469,3424.454,15,16
2026-01-31T17:00:48.993472Z,0x6056,1697516348,1700805491,1700805562,1700805579,1700805635,1700805648,3289.143,17,13
2026-01-31T17:01:01.207538Z,0x4941,1712994590,1713191677,1713191748,1713191766,1713191822,1713191839,197.087,18,17
2026-01-31T17:01:06.808180Z,0x7e41,1718247871,1718464134,1718464194,1718464205,1718464261,1718464269,216.263,11,8
2026-01-31T17:01:11.750968Z,0xd67,1723522177,1723728278,1723728348,1723728362,1723728417,1723728431,206.101,14,14
2026-01-31T17:01:22.666829Z,0x1a69,1734431451,1734581628,1734581646,1734581661,1734581716,1734581732,150.177,15,16
2026-01-31T17:01:34.226760Z,0x5f49,1745225904,1746003162,1746003227,1746003243,1746003299,1746003315,777.258,16,16
2026-01-31T17:01:39.814581Z,0x578,1751062683,1751521657,1751521727,1751521740,1751521796,1751521811,458.974,13,15
2026-01-31T17:01:45.329300Z,0x765e,1756579809,1756986035,1756986105,1756986119,1756986174,1756986188,406.226,14,14
2026-01-31T17:01:50.260953Z,0x2cec,1762044873,1762448574,1762448605,1762448616,1762448671,1762448685,403.701,11,14
2026-01-31T17:01:55.850977Z,0x5fca,1767503077,1767611829,1767611899,1767611910,1767611966,1767611979,108.752,11,13
2026-01-31T17:02:00.786286Z,0x5fb,1772668437,1772901275,1772901346,1772901357,1772901412,1772901425,232.838,11,13
2026-01-31T17:02:06.384015Z,0x76dd,1777961678,1778208137,1778208187,1778208198,1778208253,1778208266,246.459,11,13
2026-01-31T17:02:11.310346Z,0x7ec2,1783267028,1783485481,1783485552,1783485563,1783485619,1783485632,218.453,11,13
2026-01-31T17:02:16.907218Z,0xde4,1788543283,1788754259,1788754288,1788754300,1788754356,1788754368,210.976,12,12
2026-01-31T17:02:21.839074Z,0x57d5,1793811599,1794030167,1794030237,1794030251,1794030307,1794030319,218.568,14,12
2026-01-31T17:02:27.436810Z,0x24f3,1799089919,1799311396,1799311466,1799311479,1799311534,1799311546,221.477,13,12
2026-01-31T17:02:32.942405Z,0x7c4d,1804372268,1804583123,1804583194,1804583208,1804583263,1804583275,210.855,14,12
2026-01-31T17:02:37.879954Z,0xf6b,1809641541,1809840359,1809840429,1809840440,1809840495,1809840507,198.818,11,12
2026-01-31T17:02:43.391178Z,0x555a,1814898880,1815105839,1815105896,1815105908,1815105964,1815105975,206.959,12,11
2026-01-31T17:02:48.319401Z,0x267c,1820163138,1820382292,1820382356,1820382365,1820382420,1820382431,219.154,9,11
2026-01-31T17:02:53.919548Z,0x2e63,1825436477,1825655211,1825655282,1825655294,1825655350,1825655360,218.734,12,10
2026-01-31T17:02:58.858831Z,0x5d45,1830710780,1830932983,1830933018,1830933031,1830933088,1830933099,222.203,13,11
2026-01-31T17:03:04.456193Z,0x774,1835990033,1836209689,1836209760,1836209771,1836209826,1836209835,219.656,11,9
2026-01-31T17:03:09.399149Z,0x7452,1841266374,1841495452,1841495522,1841495533,1841495589,1841495599,229.078,11,10
2026-01-31T17:03:14.994756Z,0x2ee0,1846555637,1846730130,1846730201,1846730212,1846730268,1846730279,174.493,11,11
2026-01-31T17:03:19.923332Z,0x5dc6,1851786984,1851958425,1851958495,1851958508,1851958564,1851958576,171.441,13,12
2026-01-31T17:03:25.521934Z,0x7f7,1857022421,1857211018,1857211090,1857211102,1857211157,1857211169,188.597,12,12
2026-01-31T17:03:30.455927Z,0x74d1,1862266644,1862451621,1862451647,1862451659,1862451716,1862451727,184.977,12,11
