Flow ID,Min Packet Length,Max Packet Length,Packet Length Total,Packet Length Range,First4Sum,Last4Sum,Min differential Packet Length,Max differential Packet Length,IAT min,IAT max,IAT range,Flow Duration,Label
12.12.12.12 11.11.11.12 1194 57545 17,104,1381,2141,1277,448,1693,0,1277,2.0,104243.0,104241.0,125375.0,twitter
11.11.11.13 12.12.12.13 57545 1194 17,104,621,1381,517,440,941,0,509,33.0,78212.0,78179.0,151037.0,twitter
12.12.12.13 11.11.11.13 1194 57545 17,104,1381,3604,1277,448,3156,0,1277,2.0,93399.0,93397.0,154338.0,twitter
11.11.11.14 12.12.12.14 57545 1194 17,104,112,864,8,448,416,0,8,32.0,67166.0,67134.0,81735.0,twitter
12.12.12.14 11.11.11.14 1194 57545 17,104,1381,2141,1277,448,1693,0,1277,2.0,87256.0,87254.0,103112.0,twitter
11.11.11.15 12.12.12.15 57545 1194 17,104,112,864,8,448,416,0,8,2.0,75694.0,75692.0,87782.0,twitter
12.12.12.15 11.11.11.15 1194 57545 17,68,1381,2105,1313,404,1701,0,1277,28.0,207911.0,207883.0,300101.0,twitter
11.11.11.16 12.12.12.16 57545 1194 17,104,112,864,8,448,416,0,8,8.0,73971.0,73963.0,85160.0,twitter
12.12.12.16 11.11.11.16 1194 57545 17,104,1381,3418,1277,448,2970,0,1277,22.0,85944.0,85922.0,101663.0,twitter
11.11.11.17 12.12.12.17 57545 1194 17,104,621,1381,517,440,941,0,509,12.0,76204.0,76192.0,117038.0,twitter
12.12.12.17 11.11.11.17 1194 57545 17,104,1381,3418,1277,448,2970,0,1277,13.0,88565.0,88552.0,123671.0,twitter
11.11.11.18 12.12.12.18 57545 1194 17,104,112,864,8,448,416,0,8,1.0,70818.0,70817.0,88689.0,twitter
12.12.12.18 11.11.11.18 1194 57545 17,104,1381,2141,1277,448,1693,0,1277,2.0,102961.0,102959.0,123690.0,twitter
11.11.11.19 12.12.12.19 57545 1194 17,104,112,864,8,448,416,0,8,10.0,162758.0,162748.0,168909.0,twitter
12.12.12.19 11.11.11.19 1194 57545 17,104,1381,3418,1277,448,2970,0,1277,6.0,347400.0,347394.0,362588.0,twitter
9.9.9.1 10.10.10.1 56647 1194 17,111,1330,4070,1219,3580,490,0,1177,11.0,86055.0,86044.0,136369.0,tiktok
10.10.10.1 9.9.9.1 1194 56647 17,101,1330,4352,1229,2568,1784,2,1224,1.0,45754.0,45753.0,51335.0,tiktok
