Flow ID,Min Packet Length,Max Packet Length,Packet Length Total,Min differential Packet Length,Max differential Packet Length,IAT min,IAT max,IAT Range,Flow Duration,Packet Length Range,First4Sum,Last4Sum,Label
16.16.16.5 15.15.15.5 44910 1194 17,92,1330,3324,12,1226,11,1070307,1070296,1183442000,1238,1638,1686,multimedia_apps
15.15.15.6 16.16.16.6 1194 44910 17,92,407,1479,0,303,0,638151,638151,974136000,315,668,811,multimedia_apps
16.16.16.6 15.15.15.6 44910 1194 17,104,1381,4960,12,1185,27,1010772,1010745,1024439000,1277,1865,3095,multimedia_apps
15.15.15.7 16.16.16.7 44910 1194 17,112,1330,4550,0,1218,31,225984,225953,296035000,1218,2884,1666,multimedia_apps
16.16.16.7 15.15.15.7 1194 44910 17,112,1330,4550,0,1218,23,264247,264224,359820000,1218,4102,448,multimedia_apps
15.15.15.8 16.16.16.8 44910 1194 17,112,1330,3334,0,1218,185,283905,283720,609179000,1218,1667,1667,multimedia_apps
16.16.16.8 15.15.15.8 1194 44910 17,112,1330,5771,0,1218,18,119959,119941,281991000,1218,4102,1669,multimedia_apps
15.15.15.9 16.16.16.9 44910 1194 17,112,1330,3355,0,1218,11,860302,860291,2178810000,1218,471,2884,multimedia_apps
16.16.16.9 15.15.15.9 1194 44910 17,104,1330,4585,0,1226,22,1439091,1439069,2548652000,1226,491,4094,multimedia_apps
15.15.15.10 16.16.16.10 44910 1194 17,112,1330,3355,0,1218,15,1699278,1699263,1971614000,1218,1689,1666,multimedia_apps
16.16.16.10 15.15.15.10 1194 44910 17,92,1330,5748,0,1218,3,1548166,1548163,1590439000,1238,2864,2884,multimedia_apps
15.15.15.11 16.16.16.11 44910 1194 17,112,1330,3367,0,1218,2,1643062,1643060,2271969000,1218,1701,1666,multimedia_apps
16.16.16.11 15.15.15.11 1194 44910 17,101,1330,5757,0,1218,3,1140463,1140460,1146039000,1229,1655,4102,multimedia_apps
15.15.15.12 16.16.16.12 44910 1194 17,104,1330,5051,0,1218,30,43666,43636,102738000,1226,2884,2167,multimedia_apps
16.16.16.12 15.15.15.12 1194 44910 17,104,1330,5760,0,1226,4535,10952,6417,56765000,1226,4102,1658,multimedia_apps
15.15.15.13 16.16.16.13 44910 1194 17,104,1330,3825,0,1218,12,36675,36663,61140000,1226,2884,941,multimedia_apps
16.16.16.13 15.15.15.13 1194 44910 17,112,1330,6986,0,1218,45,16833,16788,46820000,1218,1666,5320,multimedia_apps
15.15.15.14 16.16.16.14 1194 44910 17,112,1330,5805,0,1218,19,2095748,2095729,2128887000,1218,1703,4102,multimedia_apps
16.16.16.14 15.15.15.14 44910 1194 17,104,1330,3898,0,1218,28,1933204,1933176,1990093000,1226,2949,949,multimedia_apps
15.15.15.15 16.16.16.15 44910 1194 17,104,1330,3825,0,1218,3,50622,50619,58587000,1226,2884,941,multimedia_apps
16.16.16.15 15.15.15.15 1194 44910 17,112,1330,6986,0,1218,23,9787,9764,28797000,1218,1666,5320,multimedia_apps
15.15.15.16 16.16.16.16 44910 1194 17,242,1410,10104,0,1168,64,79757,79693,81472000,1168,5636,4468,multimedia_apps
16.16.16.16 15.15.15.16 1194 44910 17,102,1410,2720,0,822,2,68050,68048,79522000,1308,2303,417,multimedia_apps
15.15.15.17 16.16.16.17 44910 1194 17,104,1330,3825,0,1218,5,52866,52861,56367000,1226,2884,941,multimedia_apps
16.16.16.17 15.15.15.17 1194 44910 17,112,1330,6986,0,1218,8,6374,6366,22375000,1218,1666,5320,multimedia_apps
15.15.15.18 16.16.16.18 44910 1194 17,104,1331,3921,0,1218,26,2382481,2382455,2447936000,1227,2972,949,multimedia_apps
16.16.16.18 15.15.15.18 1194 44910 17,104,1330,4526,0,1226,23,2280422,2280399,2340084000,1226,432,4094,multimedia_apps
15.15.15.19 16.16.16.19 44910 1194 17,104,1330,3825,0,1218,20,51477,51457,69758000,1226,2884,941,multimedia_apps
16.16.16.19 15.15.15.19 1194 44910 17,112,1330,6986,0,1218,2,11267,11265,23256000,1218,1666,5320,multimedia_apps
15.15.15.20 16.16.16.20 1194 44910 17,104,1330,4558,0,1218,2,727197,727195,886864000,1226,1674,2884,multimedia_apps
16.16.16.20 15.15.15.20 44910 1194 17,104,1330,3853,0,1218,85,809720,809635,876006000,1226,2904,949,multimedia_apps
1.1.1.1 2.2.2.1 48211 1194 17,104,1312,2783,0,1200,2049,636773,634724,2187723000,1208,488,2295,multimedia_apps
2.2.2.1 1.1.1.1 1194 48211 17,104,1312,3684,113,1208,21,1583064,1583043,2796062000,1208,1827,1857,multimedia_apps
1.1.1.2 2.2.2.2 48211 1194 17,104,1312,2072,0,1200,30,2296913,2296883,2462668000,1208,424,1648,multimedia_apps
2.2.2.2 1.1.1.2 1194 48211 17,112,1312,3505,0,1200,2,71590,71588,179294000,1200,1809,1696,multimedia_apps
1.1.1.3 2.2.2.3 1194 48211 17,112,1312,4705,0,1200,23,3107587,3107564,3397265000,1200,2848,1857,multimedia_apps
2.2.2.3 1.1.1.3 48211 1194 17,112,1312,4328,0,1200,29,1821563,1821534,1955782000,1200,1480,2848,multimedia_apps
1.1.1.4 2.2.2.4 1194 48211 17,92,1312,6872,0,1220,13,2166079,2166066,3017354000,1220,2828,4044,multimedia_apps
2.2.2.4 1.1.1.4 48211 1194 17,112,1312,5012,0,1200,29,288732,288703,1083144000,1200,1648,3364,multimedia_apps
1.1.1.5 2.2.2.5 1194 48211 17,104,1312,2265,0,1200,20,422370,422350,750703000,1208,456,1809,multimedia_apps
2.2.2.5 1.1.1.5 48211 1194 17,104,1312,2092,0,1208,11,554374,554363,679617000,1208,460,1632,multimedia_apps
1.1.1.6 2.2.2.6 48211 1194 17,104,1312,2081,0,1208,13,43996,43983,123353000,1208,441,1640,multimedia_apps
2.2.2.6 1.1.1.6 1194 48211 17,104,1312,2297,0,1200,2,60300,60298,115022000,1208,440,1857,multimedia_apps
1.1.1.7 2.2.2.7 48211 1194 17,104,1312,2482,0,1208,9,76641,76632,162340000,1208,432,2050,multimedia_apps
2.2.2.7 1.1.1.7 1194 48211 17,104,1312,2296,0,1200,21,130084,130063,167735000,1208,448,1848,multimedia_apps
1.1.1.8 2.2.2.8 48211 1194 17,104,1312,2103,0,1208,31,1446594,1446563,1576943000,1208,463,1640,multimedia_apps
2.2.2.8 1.1.1.8 1194 48211 17,104,1312,2297,0,1200,20,129812,129792,205659000,1208,448,1849,multimedia_apps
1.1.1.9 2.2.2.9 48211 1194 17,104,1312,2482,0,1208,65,162200,162135,269751000,1208,432,2050,multimedia_apps
2.2.2.9 1.1.1.9 1194 48211 17,104,1312,2296,0,1200,15,228405,228390,270819000,1208,1648,648,multimedia_apps
1.1.1.10 2.2.2.10 48211 1194 17,103,1312,2071,0,1209,11,57732,57721,119749000,1209,432,1639,multimedia_apps
2.2.2.10 1.1.1.10 1194 48211 17,100,1312,2237,0,1212,2,115873,115871,121824000,1212,448,1789,multimedia_apps
1.1.1.11 2.2.2.11 48211 1194 17,104,1312,2072,0,1208,4728,64604,59876,224378000,1208,432,1640,multimedia_apps
2.2.2.11 1.1.1.11 1194 48211 17,104,1312,2296,0,1200,21,129432,129411,248554000,1208,1648,648,multimedia_apps
1.1.1.12 2.2.2.12 48211 1194 17,92,112,792,0,20,12,59936,59924,138463000,20,392,400,multimedia_apps
2.2.2.12 1.1.1.12 1194 48211 17,104,368,1152,0,264,3,79888,79885,207881000,264,464,688,multimedia_apps
1.1.1.13 2.2.2.13 48211 1194 17,104,1312,2482,0,1208,3464,48194,44730,100552000,1208,432,2050,multimedia_apps
2.2.2.13 1.1.1.13 1194 48211 17,104,1312,2297,0,1200,3,68438,68435,107920000,1208,448,1849,multimedia_apps
1.1.1.14 2.2.2.14 1194 48211 17,104,1312,2312,0,1200,20,766245,766225,1082626000,1208,456,1856,multimedia_apps
2.2.2.14 1.1.1.14 48211 1194 17,104,1312,2092,0,1208,30,871090,871060,924893000,1208,460,1632,multimedia_apps
1.1.1.15 2.2.2.15 48211 1194 17,104,1312,2482,0,1208,30,60793,60763,121487000,1208,432,2050,multimedia_apps
2.2.2.15 1.1.1.15 1194 48211 17,104,1312,2297,0,1200,13,108428,108415,118802000,1208,448,1849,multimedia_apps
1.1.1.16 2.2.2.16 48211 1194 17,104,1312,2482,0,1200,30,36448,36418,72728000,1208,1648,834,multimedia_apps
2.2.2.16 1.1.1.16 1194 48211 17,104,1312,2297,0,1200,21,35051,35030,63185000,1208,448,1849,multimedia_apps
1.1.1.17 2.2.2.17 48211 1194 17,104,1331,3299,0,1219,4892,208443,203551,346552000,1227,1659,1640,multimedia_apps
2.2.2.17 1.1.1.17 1194 48211 17,104,1312,2296,0,1200,2,120754,120752,236968000,1208,440,1856,multimedia_apps
11.11.11.1 12.12.12.1 5353 5353 17,100,121,905,0,21,18,250941,250923,535912000,21,463,442,multimedia_apps
11.11.11.1 12.12.12.1 57545 1194 17,82,1344,3589,0,1254,8,32737,32729,89606000,1262,633,2956,multimedia_apps
12.12.12.1 11.11.11.1 1194 57545 17,90,1144,3482,0,1054,4,45629,45625,80775000,1054,2472,1010,multimedia_apps
11.11.11.2 12.12.12.2 57545 1194 17,104,112,864,0,8,2,71972,71970,100077000,8,448,416,multimedia_apps
12.12.12.2 11.11.11.2 1194 57545 17,104,1381,3418,0,1277,4,95891,95887,114139000,1277,448,2970,multimedia_apps
11.11.11.3 12.12.12.3 57545 1194 17,104,621,1381,0,517,2,61671,61669,80618000,517,448,933,multimedia_apps
12.12.12.3 11.11.11.3 1194 57545 17,104,1381,2149,0,1277,21,80388,80367,102698000,1277,448,1701,multimedia_apps
11.11.11.4 12.12.12.4 57545 1194 17,104,621,1381,0,517,1,73527,73526,89036000,517,448,933,multimedia_apps
12.12.12.4 11.11.11.4 1194 57545 17,104,1381,2149,0,1277,33,69108,69075,103159000,1277,448,1701,multimedia_apps
11.11.11.5 12.12.12.5 1194 57545 17,104,833,1593,0,721,2,99692,99690,257789000,729,1169,424,multimedia_apps
12.12.12.5 11.11.11.5 57545 1194 17,104,142,902,0,38,1,65456,65455,91924000,38,448,454,multimedia_apps
11.11.11.6 12.12.12.6 57545 1194 17,104,112,864,0,8,1,68554,68553,81174000,8,448,416,multimedia_apps
12.12.12.6 11.11.11.6 1194 57545 17,104,1381,3418,0,1277,3,107756,107753,122170000,1277,448,2970,multimedia_apps
11.11.11.7 12.12.12.7 57545 1194 17,104,112,864,0,8,2,81465,81463,89263000,8,448,416,multimedia_apps
12.12.12.7 11.11.11.7 1194 57545 17,104,1381,3418,0,1277,3,80664,80661,95922000,1277,448,2970,multimedia_apps
11.11.11.8 12.12.12.8 57545 1194 17,104,112,864,0,8,12,74957,74945,88660000,8,448,416,multimedia_apps
12.12.12.8 11.11.11.8 1194 57545 17,104,1381,3603,0,1277,3,137532,137529,152476000,1277,448,3155,multimedia_apps
11.11.11.9 12.12.12.9 57545 1194 17,104,621,1898,0,509,33,78781,78748,99418000,517,432,1466,multimedia_apps
12.12.12.9 11.11.11.9 1194 57545 17,104,1381,3418,0,1277,3,79951,79948,105012000,1277,448,2970,multimedia_apps
11.11.11.10 12.12.12.10 57545 1194 17,104,621,1421,0,517,13,93364,93351,207058000,517,941,480,multimedia_apps
12.12.12.10 11.11.11.10 1194 57545 17,104,1381,6166,0,1277,23,124832,124809,220298000,1277,2978,3188,multimedia_apps
11.11.11.11 12.12.12.11 1194 57545 17,68,1381,2105,0,1277,32,264761,264729,366505000,1313,404,1701,multimedia_apps
12.12.12.11 11.11.11.11 57545 1194 17,104,112,864,0,8,1,65872,65871,78881000,8,448,416,multimedia_apps
11.11.11.12 12.12.12.12 57545 1194 17,104,112,864,0,8,1,80173,80172,96129000,8,448,416,multimedia_apps
12.12.12.12 11.11.11.12 1194 57545 17,104,1381,2141,0,1277,2,104243,104241,125375000,1277,448,1693,multimedia_apps
11.11.11.13 12.12.12.13 57545 1194 17,104,621,1381,0,509,33,78212,78179,151037000,517,440,941,multimedia_apps
12.12.12.13 11.11.11.13 1194 57545 17,104,1381,3604,0,1277,2,93399,93397,154338000,1277,448,3156,multimedia_apps
11.11.11.14 12.12.12.14 57545 1194 17,104,112,864,0,8,32,67166,67134,81735000,8,448,416,multimedia_apps
12.12.12.14 11.11.11.14 1194 57545 17,104,1381,2141,0,1277,2,87256,87254,103112000,1277,448,1693,multimedia_apps
11.11.11.15 12.12.12.15 57545 1194 17,104,112,864,0,8,2,75694,75692,87782000,8,448,416,multimedia_apps
12.12.12.15 11.11.11.15 1194 57545 17,68,1381,2105,0,1277,28,207911,207883,300101000,1313,404,1701,multimedia_apps
11.11.11.16 12.12.12.16 57545 1194 17,104,112,864,0,8,8,73971,73963,85160000,8,448,416,multimedia_apps
12.12.12.16 11.11.11.16 1194 57545 17,104,1381,3418,0,1277,22,85944,85922,101663000,1277,448,2970,multimedia_apps
11.11.11.17 12.12.12.17 57545 1194 17,104,621,1381,0,509,12,76204,76192,117038000,517,440,941,multimedia_apps
12.12.12.17 11.11.11.17 1194 57545 17,104,1381,3418,0,1277,13,88565,88552,123671000,1277,448,2970,multimedia_apps
11.11.11.18 12.12.12.18 57545 1194 17,104,112,864,0,8,1,70818,70817,88689000,8,448,416,multimedia_apps
12.12.12.18 11.11.11.18 1194 57545 17,104,1381,2141,0,1277,2,102961,102959,123690000,1277,448,1693,multimedia_apps
11.11.11.19 12.12.12.19 57545 1194 17,104,112,864,0,8,10,162758,162748,168909000,8,448,416,multimedia_apps
12.12.12.19 11.11.11.19 1194 57545 17,104,1381,3418,0,1277,6,347400,347394,362588000,1277,448,2970,multimedia_apps
9.9.9.1 10.10.10.1 56647 1194 17,111,1330,4070,0,1177,11,86055,86044,136369000,1219,3580,490,multimedia_apps
10.10.10.1 9.9.9.1 1194 56647 17,101,1330,4352,2,1224,1,45754,45753,51335000,1229,2568,1784,multimedia_apps
9.9.9.2 10.10.10.2 1194 56647 17,177,1410,10047,0,1233,2,2135983,2135981,2146995000,1233,4407,5640,multimedia_apps
